category_name,type,amount,description,date
Salary,income,4250,Monthly Salary,11/1/2025
Food,expense,892.45,Grocery Shopping,11/2/2025
Transport,expense,245.8,Fuel Expense,11/3/2025
Freelancing,income,1850,Web Design Project,11/4/2025
Entertainment,expense,125.5,Movie Tickets,11/5/2025
Bills,expense,890,Electricity Bill,11/6/2025
Interest,income,342.75,Bank Interest,11/7/2025
Shopping,expense,1245.9,Clothing Purchase,11/8/2025
Health,expense,550,Medical Checkup,11/9/2025
Bonus,income,2100,Performance Bonus,11/10/2025
Food,expense,456.3,Restaurant Dinner,11/11/2025
Investment,income,1675.4,Stock Dividends,11/12/2025
Transport,expense,3200,Car Maintenance,11/13/2025
Bills,expense,1250,Internet & Phone,11/14/2025
Freelancing,income,2450,Logo Design,11/15/2025
Entertainment,expense,789.25,Concert Tickets,11/16/2025
Food,expense,234.6,Fast Food,11/17/2025
Salary,income,4250,Monthly Salary Part 2,11/18/2025
Shopping,expense,2340.8,Electronics Purchase,11/19/2025
Health,expense,1890,Dental Treatment,11/20/2025
Investment,income,890.5,Mutual Fund Returns,11/21/2025
Transport,expense,567.9,Public Transport Pass,11/22/2025
Bonus,income,1500,Client Referral Bonus,11/23/2025
Bills,expense,2100,Rent Payment,11/24/2025
Food,expense,678.4,Catering Service,11/25/2025
Entertainment,expense,450,Gaming Subscription,11/26/2025
Interest,income,567.8,Fixed Deposit Interest,11/27/2025
Shopping,expense,890.5,Home Decor,11/28/2025
Freelancing,income,3200,Mobile App Development,11/29/2025
Health,expense,345.6,Pharmacy Bills,11/30/2025
Transport,expense,1234.5,Taxi Services,11/1/2025
Investment,income,2340,Real Estate Returns,11/3/2025
Food,expense,567.8,Bakery Items,11/5/2025
Bills,expense,450,Water Bill,11/7/2025
Bonus,income,890,Year-end Bonus,11/9/2025
Shopping,expense,1567.9,Gift Shopping,11/11/2025
Entertainment,expense,234.5,Streaming Services,11/13/2025
Salary,income,1200,Part-time Income,11/15/2025
Health,expense,2340,Health Insurance,11/17/2025
Transport,expense,890.4,Vehicle Insurance,11/19/2025
Freelancing,income,1890,Content Writing,11/21/2025
Food,expense,345.7,Coffee Shop,11/23/2025
Investment,income,4567.8,Cryptocurrency Gains,11/25/2025
Bills,expense,678.9,Gas Bill,11/27/2025
Interest,income,234.5,Savings Account Interest,11/29/2025
Shopping,expense,3456.7,Furniture Purchase,11/2/2025
Entertainment,expense,567.8,Theme Park Visit,11/4/2025
Food,expense,890.3,Party Catering,11/6/2025
Bonus,income,3400,Project Completion Bonus,11/8/2025
Transport,expense,234.8,Parking Fees,11/10/2025
Health,expense,1234.5,Gym Membership,11/12/2025
Freelancing,income,2890,Consulting Services,11/14/2025
Bills,expense,890,Credit Card Payment,11/16/2025
Investment,income,1234.6,Bond Interest,11/18/2025
Shopping,expense,2345.8,Appliances Purchase,11/20/2025
Food,expense,456.9,Meal Delivery,11/22/2025
Entertainment,expense,1234.5,Weekend Getaway,11/24/2025
Interest,income,678.4,Investment Returns,11/26/2025
Transport,expense,567.3,Auto Repair,11/28/2025
Salary,income,2100,Overtime Pay,11/30/2025
Health,expense,890.5,Physiotherapy,11/1/2025
Bonus,income,1890,Sales Commission,11/3/2025
Food,expense,234.8,Lunch at Office,11/5/2025
Shopping,expense,4567.9,Laptop Purchase,11/7/2025
Bills,expense,1890,Property Tax,11/9/2025
Freelancing,income,3456,Video Editing,11/11/2025
Entertainment,expense,345.6,Sports Event Tickets,11/13/2025
Investment,income,2890.4,Rental Income,11/15/2025
Transport,expense,1890.5,Flight Tickets,11/17/2025
Food,expense,678.9,Dinner Date,11/19/2025
Interest,income,890.3,Loan Interest Earned,11/21/2025
Health,expense,2345,Vision Care,11/23/2025
Shopping,expense,1234.7,Shoes Purchase,11/25/2025
Bonus,income,2567.8,Holiday Bonus,11/27/2025
Bills,expense,567.4,Subscription Services,11/29/2025
Freelancing,income,1567.9,Photography Services,11/2/2025
Entertainment,expense,890.2,Board Game Purchase,11/4/2025
Food,expense,345.5,Breakfast at Cafe,11/6/2025
Transport,expense,2340.6,Train Tickets,11/8/2025
Investment,income,3890,ETF Returns,11/10/2025
Salary,income,5000,Bonus Salary,11/12/2025
Health,expense,567.8,Supplements Purchase,11/14/2025
Shopping,expense,890.4,Accessories Shopping,11/16/2025
Bills,expense,1234,HOA Fees,11/18/2025
Interest,income,456.7,Treasury Bond Interest,11/20/2025
Food,expense,1234.9,Special Occasion Dining,11/22/2025
Entertainment,expense,678.5,Virtual Reality Experience,11/24/2025
Freelancing,income,4234,Brand Strategy,11/26/2025
Transport,expense,345.8,Bike Repair,11/28/2025
Bonus,income,1678.9,Referral Bonus,11/30/2025
Health,expense,4567,Surgery Co-pay,11/1/2025
Investment,income,2345.8,Options Trading Profit,11/3/2025
Shopping,expense,567.9,Book Purchase,11/5/2025
Food,expense,2890.5,Family Gathering,11/7/2025
Bills,expense,3456,Annual Membership,11/9/2025
Entertainment,expense,1890.7,Spa Day,11/11/2025
Transport,expense,678.4,Hotel Parking,11/13/2025
Interest,income,1234.5,CD Interest,11/15/2025
Freelancing,income,2678.9,Social Media Management,11/17/2025
